Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.28,-.05,-.36,-.13,-.02,-.80,-.45,-.28,-.15,-.11,-.04,.05,.66
1881,-.08,-.17,-.01,-.33,.10,-.07,-.90,-.42,-.20,.10,.10,-.06,-.07,.58
1882,-.11,-.21,-.02,-.30,-.05,.01,-1.39,-.25,-.16,-.04,-.05,.01,.04,.61
1883,-.18,-.28,-.07,-.35,-.17,-.01,-.17,-.53,-.28,-.18,-.16,-.04,.07,.48
1884,-.28,-.43,-.15,-.60,-.15,-.14,-1.29,-.61,-.48,-.13,-.17,-.20,-.02,.63
1885,-.33,-.43,-.25,-.65,-.14,-.28,-1.50,-.66,-.47,-.07,-.21,-.34,-.15,.80
1886,-.32,-.43,-.20,-.57,-.20,-.21,-1.58,-.48,-.42,-.22,-.19,-.20,-.21,.57
1887,-.36,-.44,-.29,-.53,-.30,-.28,-1.75,-.49,-.31,-.30,-.31,-.28,-.26,.30
1888,-.17,-.24,-.12,-.42,.10,-.29,-1.30,-.42,-.26,.07,.13,-.31,-.23,.14
1889,-.11,-.18,-.04,-.29,.07,-.16,-.68,-.21,-.29,.01,.14,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.37,-.22,-1.12,-.54,-.28,-.27,-.47,-.17,-.27,.13
1891,-.23,-.26,-.19,-.43,-.08,-.21,-1.11,-.33,-.38,.00,-.17,-.18,-.24,-.17
1892,-.28,-.40,-.16,-.44,-.30,-.08,-1.14,-.65,-.19,-.33,-.27,.02,-.21,.07
1893,-.32,-.48,-.16,-.52,-.37,-.05,-.68,-.54,-.48,-.42,-.32,.07,-.20,-.06
1894,-.32,-.39,-.24,-.33,-.37,-.24,-.94,-.32,-.20,-.50,-.24,-.14,-.35,-.39
1895,-.24,-.31,-.16,-.40,-.09,-.26,-.66,-.52,-.28,-.15,-.03,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.10,-.15,-.87,-.36,-.23,.06,.14,-.15,-.13,.24
1897,-.11,-.16,-.05,-.36,.17,-.23,-.55,-.46,-.25,.14,.20,-.19,-.27,.39
1898,-.28,-.29,-.26,-.36,-.22,-.26,-1.16,-.24,-.24,-.18,-.27,-.27,-.21,.36
1899,-.18,-.22,-.15,-.25,-.13,-.19,-1.05,-.10,-.16,-.16,-.10,-.15,-.22,.57
1900,-.09,-.10,-.07,-.21,.17,-.30,-.57,-.16,-.16,.09,.25,-.28,-.29,.25
1901,-.16,-.13,-.19,-.17,-.05,-.30,-.40,-.11,-.16,-.07,-.03,-.27,-.34,.24
1902,-.28,-.33,-.23,-.53,-.04,-.35,-1.31,-.50,-.35,-.02,-.07,-.28,-.43,-.06
1903,-.37,-.38,-.37,-.47,-.29,-.39,-.20,-.42,-.57,-.23,-.34,-.35,-.40,-.50
1904,-.47,-.48,-.47,-.51,-.47,-.44,-.15,-.60,-.56,-.44,-.51,-.37,-.49,-1.32
1905,-.27,-.29,-.23,-.42,-.09,-.36,-.07,-.23,-.63,-.12,-.06,-.33,-.37,-.34
1906,-.23,-.24,-.21,-.26,-.20,-.23,-.27,-.07,-.41,-.21,-.19,-.20,-.23,-.72
1907,-.39,-.48,-.30,-.60,-.31,-.29,-.59,-.73,-.53,-.31,-.32,-.21,-.37,-1.20
1908,-.43,-.46,-.41,-.49,-.44,-.36,-.25,-.55,-.53,-.42,-.47,-.28,-.48,.67
1909,-.49,-.50,-.48,-.55,-.48,-.44,-.76,-.63,-.45,-.44,-.53,-.37,-.52,-.57
1910,-.44,-.44,-.43,-.42,-.49,-.38,-.57,-.25,-.51,-.47,-.51,-.33,-.45,.16
1911,-.45,-.43,-.47,-.43,-.44,-.48,-.28,-.43,-.48,-.43,-.45,-.44,-.53,.05
1912,-.37,-.47,-.26,-.61,-.20,-.37,-.53,-.80,-.51,-.28,-.12,-.37,-.29,-1.64
1913,-.35,-.43,-.27,-.45,-.29,-.35,-.51,-.34,-.52,-.40,-.17,-.28,-.40,-1.04
1914,-.16,-.20,-.12,-.26,-.08,-.18,-.38,-.17,-.29,-.12,-.04,-.15,-.18,-.37
1915,-.15,-.15,-.14,-.24,-.02,-.22,-.60,-.17,-.19,-.02,-.03,-.15,-.23,-1.98
1916,-.36,-.42,-.32,-.37,-.46,-.23,-.45,-.55,-.25,-.50,-.42,-.23,-.17,-1.05
1917,-.47,-.58,-.37,-.51,-.64,-.19,-.82,-.51,-.44,-.69,-.59,-.23,-.10,.06
1918,-.30,-.40,-.21,-.41,-.35,-.14,-1.02,-.28,-.35,-.39,-.31,-.06,-.23,-.28
1919,-.28,-.35,-.20,-.44,-.19,-.22,-.71,-.56,-.31,-.22,-.16,-.14,-.32,.19
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.01,-.20,-.35,-.37,-.12,-.19,-.48,-1.15
1921,-.18,-.11,-.26,.02,-.24,-.31,.02,.17,-.09,-.28,-.20,-.23,-.38,-.84
1922,-.29,-.28,-.30,-.25,-.32,-.27,-.29,-.40,-.14,-.32,-.33,-.24,-.29,-.28
1923,-.27,-.22,-.31,-.16,-.30,-.34,.18,-.15,-.26,-.32,-.28,-.26,-.41,-.55
1924,-.27,-.19,-.36,-.13,-.26,-.43,.47,-.25,-.23,-.27,-.25,-.40,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.38,-.05,.18,-.19,-.28,-.21,-.25,-.55,-.86
1926,-.11,.02,-.22,.03,.02,-.41,.59,.15,-.22,.01,.02,-.35,-.45,-.64
1927,-.22,-.13,-.30,-.13,-.16,-.39,.04,-.22,-.13,-.13,-.18,-.31,-.46,-1.38
1928,-.20,-.10,-.29,-.07,-.15,-.39,.73,-.18,-.23,-.14,-.16,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.28,-.46,.16,-.62,-.38,-.27,-.29,-.43,-.45,-1.08
1930,-.16,-.01,-.29,.04,-.10,-.42,.55,.04,-.11,-.09,-.12,-.33,-.47,-2.60
1931,-.09,.05,-.22,.01,.08,-.43,.57,-.05,-.14,.11,.05,-.42,-.40,-.41
1932,-.15,-.05,-.25,.04,-.15,-.35,.50,.19,-.21,-.18,-.13,-.21,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.47,-.12,-.27,-.27,-.21,-.49,-1.15
1934,-.12,.00,-.25,.17,-.24,-.26,.89,.30,-.13,-.24,-.23,-.15,-.38,-.57
1935,-.19,-.09,-.29,-.04,-.17,-.38,.36,-.05,-.16,-.15,-.19,-.30,-.42,-1.72
1936,-.14,-.03,-.26,-.02,-.12,-.30,.41,.10,-.25,-.04,-.20,-.26,-.33,-.04
1937,-.02,.13,-.17,.20,-.04,-.22,1.25,.03,-.02,.02,-.10,-.19,-.26,.36
1938,.00,.17,-.18,.39,-.22,-.10,1.51,.39,.03,-.17,-.27,-.06,-.11,-.87
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.10,-.13,-.04,-.19,-1.61
1940,.13,.18,.09,.11,.29,-.07,1.01,-.02,-.09,.28,.29,.03,-.20,-.06
1941,.19,.23,.16,.01,.49,-.05,.01,-.10,.08,.55,.44,.03,-.15,-.47
1942,.07,.13,.00,.13,.08,-.01,.74,-.06,.06,.12,.03,.05,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.11,-.10,-.06,.07,-.01,1.13
1944,.21,.27,.15,.38,.19,.05,1.19,.47,.09,.11,.27,.18,-.10,-.94
1945,.09,.11,.09,.11,.17,-.03,.64,-.02,.04,.10,.24,.03,.00,-1.78
1946,-.07,.03,-.17,.06,-.05,-.24,-.02,-.05,.16,-.03,-.07,-.22,-.24,-.17
1947,-.03,.08,-.13,.16,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.21
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.32,.01,-.23,-.14,-.19,-.19,-1.38
1949,-.11,-.03,-.20,.11,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.97
1950,-.17,-.15,-.21,-.05,-.29,-.14,.20,-.31,.04,-.30,-.27,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.11,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.50
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.10
1954,-.13,-.02,-.25,.07,-.21,-.22,.81,-.21,.00,-.14,-.29,-.18,-.20,-.81
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.47,-.09,-.28,-.37,-.14,.02,.76
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.75
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.09,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.11,-.14,-.15,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.22,-.13,-.06,.06,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.02,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.37,-.47,-.25,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.18,.18,.07,.27,.02,.08,.29,.22,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.09,.39,-.05,-.30,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.16,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.15,.28,.39,.60
1982,.14,.06,.23,-.08,.27,.18,-.40,.10,-.08,.25,.30,.18,.32,-.11
1983,.31,.25,.38,.22,.44,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.19,.26,.36,.08,-.13,.07,.30,.16,.32,.51
1985,.12,.00,.24,-.03,.09,.30,.39,-.27,-.01,.04,.14,.30,.44,.03
1986,.18,.13,.23,.10,.23,.20,.01,.28,.03,.18,.28,.25,.25,-.11
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.00
1988,.39,.37,.41,.40,.38,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.28,.40,.13,.34,.32,.69,.25,.07,.19,.36,.30,.35
1990,.45,.53,.37,.63,.37,.37,.58,.88,.48,.38,.37,.37,.37,.36
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.41,.31,.29,.95
1992,.22,.14,.31,.09,.29,.27,-.17,.44,-.04,.20,.37,.20,.33,.39
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.27,.39,-.31
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.98,.32,.41,.45,.29,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.33,.33,.28,1.19
1997,.46,.52,.41,.53,.51,.33,.76,.90,.22,.50,.53,.42,.36,-.04
1998,.61,.71,.52,.78,.70,.32,.86,.94,.65,.60,.80,.39,.31,.11
1999,.38,.48,.28,.70,.21,.30,.41,.80,.74,.16,.26,.46,.19,-.01
2000,.39,.50,.29,.70,.25,.28,.97,.80,.55,.21,.29,.42,.10,.24
2001,.54,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.26
2002,.63,.71,.54,.83,.59,.47,1.25,1.00,.58,.55,.64,.50,.32,.75
2003,.62,.75,.49,.84,.64,.37,1.49,.98,.54,.61,.66,.45,.24,.38
2004,.53,.66,.41,.72,.55,.32,.47,.95,.66,.56,.54,.48,.23,-.04
2005,.68,.86,.50,1.01,.62,.41,1.99,1.22,.57,.62,.62,.49,.18,.65
2006,.63,.82,.45,.99,.55,.39,1.73,1.06,.70,.57,.54,.51,.19,.40
2007,.66,.85,.47,1.13,.46,.47,2.11,1.32,.69,.45,.47,.50,.07,1.22
2008,.54,.68,.40,.92,.37,.39,1.54,1.07,.62,.34,.41,.53,.09,.60
2009,.66,.73,.59,.78,.67,.51,1.42,.60,.68,.65,.70,.60,.15,.96
2010,.72,.90,.55,1.02,.68,.48,2.22,.86,.74,.72,.65,.63,.20,.50
2011,.61,.74,.47,.99,.37,.56,2.35,.93,.58,.39,.35,.64,.18,1.09
2012,.65,.81,.48,1.04,.52,.42,2.21,.93,.74,.48,.57,.56,.19,.40
2013,.68,.80,.55,.95,.58,.54,1.54,1.04,.69,.58,.57,.63,.22,.89
2014,.75,.92,.57,1.07,.67,.52,2.03,1.13,.73,.69,.64,.72,.18,.57
2015,.90,1.18,.63,1.31,.95,.40,2.00,1.48,.99,.97,.93,.75,.18,-.32
2016,1.01,1.31,.73,1.54,1.01,.49,3.25,1.43,1.07,.96,1.06,.67,.25,.40
2017,.92,1.18,.67,1.39,.81,.60,2.52,1.38,1.04,.86,.76,.76,.35,.55
2018,.85,1.03,.66,1.24,.67,.68,2.14,1.08,1.05,.73,.61,.80,.37,.96
2019,.98,1.21,.74,1.42,.89,.65,2.71,1.43,.99,.91,.88,.75,.39,.84
2020,1.01,1.35,.68,1.67,.85,.57,2.91,1.82,1.19,.88,.83,.58,.39,.90
2021,.84,1.14,.55,1.42,.65,.53,2.04,1.34,1.26,.72,.57,.72,.32,.31
